2	1	11.02872	0.33	-4.593757	10.99751	2.038975	-4.584946	0
3	1	11.00737	0.33	-4.566187	10.97945	2.039003	-4.556835	0
3	2	-14.98423	0.33	-0.6109853	-14.95061	2.090724	-0.5751049	0
4	1	10.97743	0.33	-4.529067	10.95007	2.02666	-4.502092	0
4	2	-14.95399	0.33	-0.6117069	-14.92099	2.090747	-0.573983	0
5	1	10.94004	0.33	-4.484014	10.90045	2.025264	-4.465191	0
5	2	-14.91623	0.33	-0.6126078	-14.88393	2.090779	-0.5732107	0
6	1	10.89619	0.33	-4.43249	10.85534	2.026954	-4.413994	0
6	2	-14.87195	0.33	-0.6136643	-14.83125	2.068568	-0.5648477	0
7	1	10.84674	0.33	-4.375823	10.80338	2.02617	-4.359665	0
7	2	-14.82202	0.33	-0.6148556	-14.77966	2.063889	-0.5647935	0
8	1	10.79244	0.33	-4.315196	10.74526	2.021585	-4.304557	0
8	2	-14.7672	0.33	-0.6161636	-14.7233	2.060124	-0.5646675	0
9	1	10.73392	0.33	-4.251664	10.68122	2.012352	-4.249414	0
9	2	-14.70813	0.33	-0.6175729	-14.66153	2.058256	-0.5656875	0
10	1	10.67176	0.33	-4.186153	10.61289	1.99926	-4.190909	0
10	2	-14.64539	0.33	-0.6190699	-14.59471	2.060043	-0.569392	0
11	1	10.60642	0.33	-4.119474	10.53682	1.986015	-4.12622	0
11	2	-14.57946	0.33	-0.620643	-14.52381	2.066257	-0.5767219	0
12	1	10.53834	0.33	-4.052329	10.46509	1.978606	-4.056035	0
12	2	-14.51077	0.33	-0.6222819	-14.45623	2.07412	-0.5864286	0
13	1	10.46787	0.33	-3.985314	10.39162	1.983665	-3.983205	0
13	2	-14.43969	0.33	-0.623978	-14.3867	2.081122	-0.5950455	0
14	1	10.39533	0.33	-3.918935	10.32509	2.006232	-3.903214	0
14	2	-14.34014	0.33	-0.6421946	-14.286	2.067099	-0.6401777	0
15	1	10.321	0.33	-3.853615	10.26574	2.021828	-3.833149	0
