2	1	-0.412933	0.6791833	2
3	1	-0.4090191	0.679332	2
3	2	-0.4188924	0.678957	2
4	1	-0.4030616	0.6795582	2
4	2	-0.4224071	0.6788235	2
4	3	1.672529	0.3322855	3
5	1	-0.3961415	0.6798211	2
5	2	-0.425422	0.6787091	2
5	3	1.663479	0.3270026	3
5	4	1.702405	0.3497274	3
6	1	-0.3891572	0.6800864	2
6	2	-0.4271829	0.6786423	2
6	3	1.654438	0.3217247	3
6	4	1.7048	0.3511255	3
6	5	0.8147114	-0.1697301	0
6	1	0.3213989	0.8519576	2
6	2	0.3094298	0.8514857	2
6	3	1.06737	0.6960094	3
6	4	1.074869	0.712611	3
6	5	0.8319274	0.1712854	0
7	1	-0.3827861	0.6803284	2
7	2	-0.4278324	0.6786177	2
7	3	1.646271	0.3169563	3
7	4	1.705685	0.3516421	3
7	5	0.8135781	-0.1670134	0
7	1	0.323402	0.8520366	2
7	2	0.3092251	0.8514776	2
7	3	1.066115	0.693231	3
7	4	1.074997	0.7128948	3
7	5	0.8299787	0.1765996	0
8	1	-0.3769991	0.6805482	2
8	2	-0.4275073	0.67863	2
8	3	1.638917	0.312663	3
8	4	1.705242	0.3513834	3
8	5	0.812343	-0.1639957	0
8	1	0.3252208	0.8521084	2
8	2	0.3093276	0.8514817	2
8	3	1.064975	0.6907083	3
8	4	1.074933	0.7127527	3
8	5	0.8278531	0.182445	0
9	1	-0.3717526	0.6807475	2
9	2	-0.4263155	0.6786754	2
9	3	1.632302	0.3088014	3
9	4	1.703619	0.3504361	3
9	5	0.8110126	-0.1607063	0
9	1	0.3268692	0.8521733	2
9	2	0.3097031	0.8514965	2
9	3	1.063942	0.6884217	3
9	4	1.074698	0.7122318	3
9	5	0.8255724	0.1887493	0
10	1	-0.3669924	0.6809283	2
10	2	-0.4243248	0.678751	2
10	3	1.626344	0.3053228	3
10	4	1.700916	0.3488576	3
10	5	0.810577	-0.159606	0
11	1	-0.3626581	0.681093	2
11	2	-0.4216106	0.6788541	2
11	3	1.620953	0.3021759	3
11	4	1.697242	0.3467129	3
11	5	0.8099422	-0.1579957	0
11	6	1.485394	0.7300548	0
11	1	0.3297257	0.852286	2
11	2	0.3111853	0.851555	2
11	3	1.062153	0.6844597	3
11	4	1.073769	0.7101759	3
11	5	0.8237311	0.1938919	0
11	6	0.8871014	0.867721	0
12	1	-0.3586862	0.6812439	2
12	2	-0.4182523	0.6789817	2
12	3	1.616043	0.2993091	3
12	4	1.692717	0.3440714	3
12	5	0.80913	-0.1559355	0
12	6	1.483464	0.7276233	0
12	1	0.3309728	0.8523352	2
12	2	0.312243	0.8515967	2
12	3	1.061371	0.6827299	3
12	4	1.073107	0.7087088	3
12	5	0.8223438	0.1977695	0
12	6	0.8870075	0.8669785	0
13	1	-0.3550124	0.6813835	2
13	2	-0.414194	0.6791359	2
13	3	1.611525	0.2966717	3
13	4	1.687279	0.3408965	3
